"","SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file"
"148","PRanto12",0.974966068885724,1439,143,1439,0.95,"3oT","laplace","2",2.63614687121482,0.963588188196885,"ref2714_PR_4214.txt"
"149","SCvolta1",0.975721531216037,1658,52,1658,0.95,"3oT","laplace","2",2.45588336206301,0.899157049377478,"ref848_SC_1272.txt"
"150","SPpesmF",0.977848996135357,1360,98,1360,0.95,"3oT","laplace","2",2.7116307227332,0.989194803038377,"ref928_SP_1428.txt"
"151","SPpesmB",0.978518078724858,1076,132,1076,0.95,"3oT","laplace","2",3.04855380424846,1.10670297660492,"ref934_SP_1435.txt"
"152","SPpesmC",0.983950458881778,1061,107,1061,0.95,"3oT","laplace","2",3.07002779922758,1.10744391060391,"ref1115_SP_1693.txt"
"153","SPpesmD",0.988788711304557,1262,148,1262,0.95,"3oT","laplace","2",2.81494764949788,1.0302490048743,"ref926_SP_1426.txt"
"154","SPpecb1",0.992253133238622,11507,221,1123.73046875,0.95,"3oT","laplace","2",2.98310762216623,1.08454351993455,"ref936_SP_1439.txt"
"155","SPpesmE",0.994366533447583,1225,138,1225,0.95,"3oT","laplace","2",2.85714285714286,1.03744258201433,"ref888_SP_1349.txt"
"156","SPpesmG",0.998040177040466,1494,148,1494,0.95,"3oT","laplace","2",2.58716841902111,0.94025274869991,"ref922_SP_1420.txt"
"157","SPpesmJ",0.999736929472974,1742,187,1742,0.95,"3oT","laplace","2",2.3959399259138,0.866699981718541,"ref923_SP_1422.txt"
"158","SPpesmI",0.999741863075196,1963,186,1963,0.95,"3oT","laplace","2",2.25704308883094,0.819407976055075,"ref922_SP_1421.txt"
"159","ESsoor",1,1468,226,1468,0.95,"3oT","laplace","2",2.6099787548594,0.952181929204733,"ref8_ES_10.txt"
"160","SPpesmK",1,1796,162,1796,0.95,"3oT","laplace","2",2.35964589091504,0.857354105248875,"ref935_SP_1437.txt"
