sp,N,MeanDA,SiteCode,ha
Xylopia laevigata,5,4.444444444,ESpedro1,1.125
Xylopia ochrantha,3,2.666666667,ESpedro1,1.125
Xylosma prockia,1,0.888888889,ESpedro1,1.125
Zollernia ilicifolia,3,2.666666667,ESpedro1,1.125
Agonandra sp.,3,6,ESpedro4,0.5
Albizia pedicellaris,6,12,ESpedro4,0.5
Allagoptera caudescens,25,50,ESpedro4,0.5
Allophylus petiolulatus,9,18,ESpedro4,0.5
Amaioua guianensis,2,4,ESpedro4,0.5
Amaioua intermedia,1,2,ESpedro4,0.5
Andira legalis,3,6,ESpedro4,0.5
Annona cacans,2,4,ESpedro4,0.5
Annona dolabripetala,3,6,ESpedro4,0.5
Aspidosperma sp.1,3,6,ESpedro4,0.5
Aspidosperma sp.2,3,6,ESpedro4,0.5
Astrocaryum aculeatissimum,18,36,ESpedro4,0.5
Astronium graveolens,2,4,ESpedro4,0.5
Bathysa sp.,8,16,ESpedro4,0.5
Brasiliocroton mamoninha,14,28,ESpedro4,0.5
Brosimum glaziovii,4,8,ESpedro4,0.5
Brosimum guianense,3,6,ESpedro4,0.5
Brosimum sp.1,2,4,ESpedro4,0.5
Brosimum sp.2,4,8,ESpedro4,0.5
Campomanesia sessiliflora,2,4,ESpedro4,0.5
Campomanesia laurifolia,1,2,ESpedro4,0.5
Campomanesia sp.,1,2,ESpedro4,0.5
Carpotroche brasiliensis,34,68,ESpedro4,0.5
Casearia melliodora,1,2,ESpedro4,0.5
Casearia commersoniana,2,4,ESpedro4,0.5
Casearia decandra,10,20,ESpedro4,0.5
Casearia javitensis,9,18,ESpedro4,0.5
Casearia obliqua,3,6,ESpedro4,0.5
Cecropia glaziovii,2,4,ESpedro4,0.5
Chrysobalanaceae sp.1,1,2,ESpedro4,0.5
Chrysophyllum lucentifolium,1,2,ESpedro4,0.5
Chrysophyllum januariense,7,14,ESpedro4,0.5
Chrysophyllum splendens,1,2,ESpedro4,0.5
Citronella paniculata,6,12,ESpedro4,0.5
Clarisia ilicifolia,37,74,ESpedro4,0.5
Clusia sp.,2,4,ESpedro4,0.5
Coccoloba ovata,1,2,ESpedro4,0.5
Copaifera langsdorffii,1,2,ESpedro4,0.5
Cordia ecalyculata,4,8,ESpedro4,0.5
Cordia silvestris,1,2,ESpedro4,0.5
Couepia schottii,1,2,ESpedro4,0.5
