SiteCode,p,k,Ntotal,S_obs,DA,d,U_med,J_M,L,m,m_,ratio_J_JM
PRdiam2,0.31230878974511,0.3,1146,85,1091.42857142857,4.8368014747662,0.005484267,584225.0953992106,102.46950765959606,0.0656401714209905,0.021469122302579025,0.0019615727037828106
PRvent,0.330619477161735,0.3,1270,107,1270,4.49342744035845,0.02268439,719669.0700266818,100,0.06253711576885378,0.021579323318092168,0.0017646999890559626
RJpnrj,0.0932031292485298,0.3,2164,84,1502.77777777778,4.151971856461,0.004464082,240063.39320856787,119.99999999999991,0.048332885698014146,0.004711261894904684,0.00901428564795762
RSvsol,0.602441139584327,0.3,1855,55,1855,3.71582255062869,0.001960271,1915398.8289416232,100,0.05185929960332077,0.03189985889924464,9.684667088498758e-4
RScama,0.465012320561114,0.3,2236,69,2236,3.37484623479618,0.002967513,1782119.9878978007,100,0.04715805380629942,0.02249664334861544,0.0012546854393556289
RScach1,0.11193208229449,0.3,1547,49,1547,4.08732858519813,0.004041165,296787.48190736095,100,0.05696824244245537,0.0067163661717313935,0.005212483997161577
RScach4,0.0789365443017742,0.3,1096,55,1096,4.85449652359161,0.008142675,148282.31110072994,100,0.06747464139667005,0.005679166266446518,0.007391306433411833
RSfaxi,0.330205922067901,0.3,1211,74,1211,4.64501874381281,0.009426532,685377.2477890621,100,0.0646116750932507,0.02230023422364505,0.0017669101270964692
RSmaqu4,0.266944616018118,0.3,1531,85,1531,4.11494052391477,0.005127192,700482.0953218031,100,0.057347410197021303,0.015980378786708,0.0021856375919168283
RSrioz1,0.90394723979702,0.3,1206,78,1206,4.63758610302424,0.0052599,1868491.2698137355,100,0.06451001139254689,0.05867723226562987,6.454405324142739e-4
RScach3,0.0901714210262083,0.3,1229,72,1229,4.56382637840682,0.01130328,189942.2065931763,100,0.06350082604597584,0.006077061114439753,0.006470389188603603
RScach2,0.0859317226079183,0.3,1904,48,1904,3.66975848879045,0.0056603190000000005,280427.8511751528,100,0.051224865886510006,0.004618073118709527,0.006789625181739805
RSpet1,0.61617046818727506,0.3,827,70,827,5.59526740273701,0.005375158,873387.6999860746,100,0.07756367959433948,0.04925894828966928,9.468876193392532e-4
RSsmar2,0.303243320193804,0.3,1427,58,1427,4.23248355692508,0.003405695,741678.8563802643,100,0.058960660634263425,0.0186454026432256,0.001924013321566722
RSmorr1,0.538530784487802,0.3,2822,114,2822,3.03681139391216,0.00374149,2604763.0703803725,100,0.042485887424287466,0.02333751188865545,0.001083399880814459
RScris,0.284703468659045,0.3,2179,29,2179,3.42881513489389,9.663528e-4,1063287.4082142848,100,0.047902930004906856,0.014122018465018872,0.002049304809937959
MGlavr3,0.123350541540449,0.3,4137,384,1723.75,3.886443086624,0.01993274,364431.59509047895,154.91933384829667,0.03516353328620017,0.0044753999662733,0.01135192462929261
RSsetape,0.452723370843213,0.3,1733,45,1733,3.86510871543082,0.002130371,1344720.914480521,100,0.05391393838498221,0.025150176980404747,0.0012887432487576614
RSsini,0.751887932508693,0.3,1024,69,1024,5.01400744183244,0.00404101,1319634.780981862,100,0.06965175972941458,0.053291267574139295,7.759722725996221e-4
MGuberl1,0.620615293430654,0.3,1393,89,1266.36363636364,4.53389703300346,0.00802355,1347043.395583155,104.880884817015,0.060200681380292165,0.038234714513405384,0.0010341166472940166
SCside,0.727896695345763,0.3,1715,107,1715,3.87043643753409,0.005811002,2139609.681222523,100,0.05398722311178758,0.03988300672353422,8.015480650751632e-4
MGlavr6,0.105464946828223,0.3,1666,165,1487.5,4.18212085778898,0.02492799,268884.51664523035,105.83005244258364,0.055105131121653876,0.006112990232909323,0.006195968517585345
SCorle,0.534556814170092,0.3,2143,118,2143,3.44911195317359,0.008082354,1963435.881031683,100,0.04818299035993622,0.026347424886886378,0.001091454027454141
SCilho,0.872568596003357,0.3,1260,136,1260,4.50454042898177,0.01173548,1884390.0652154514,100,0.06268927744542138,0.05514119479653908,6.686513706788929e-4
SCilho2,0.87152078954513,0.3,1832,182,1832,3.75328377097881,0.01353094,2736553.2471261485,100,0.052375091170256016,0.045955218546465317,6.694552725856567e-4
SCvolta1,0.939375134560099,0.3,1660,53,1660,3.94152069583897,0.002155532,2672685.3333468414,100,0.054964740974510755,0.05180513758392532,6.210981814014308e-4
SCcric1,0.257688402725365,0.3,1412,137,1412,4.27420053159609,0.028494040000000002,623634.6720060551,100,0.05953288409163977,0.01605022453588869,0.002264146083247742
SCvolta2,0.810348171360328,0.3,2059,78,2059,3.53219387108387,0.002351511,2859754.0603247955,100,0.0493289450970332,0.040351118265578,7.199919841240298e-4
SCtimbe1,0.794756496345566,0.3,3161,149,3161,2.85592074170074,0.004485793,4305853.649390047,100,0.03998100429561433,0.032038062151175564,7.341169155732398e-4
SCarar,0.0576726724615995,0.3,2034,26,2034,3.56179240190936,0.001369054,201058.1616101038,100,0.04973703295566163,0.003009519470839118,0.010116475669087115
SPpesmE,0.899700419807692,0.3,1240,142,1240,4.5575229571504,0.01160508,1912142.6591016536,100,0.06341455699303858,0.057419316437570825,6.484871796033075e-4
SPpei1,0.975925350225875,0.3,3078,172,1554.54545454545,4.08999978724368,0.006766853,2600283.5388155114,140.7124727947031,0.04068361778209162,0.03974310006737034,0.0011837170654866735
MGuberl3,0.863336341978253,0.3,976,86,976,5.13798336168624,0.01334143,1444210.5817363174,100,0.07134211388211377,0.06219866882782586,6.758017233377378e-4
ESsoor,0.994759334898679,0.3,1519,265,1519,4.15458095714865,0.03359185,2589861.140947626,100,0.057891620209290943,0.05760570664514017,5.865179317854085e-4
SPpesmG,0.972615491332908,0.3,1496,151,1496,4.15574345758355,0.0125174,2493867.975097327,100,0.05790757741031663,0.056411262173385705,5.99871370472856e-4
SPpesmI,0.987242723924714,0.3,1995,204,1995,3.58432029113272,0.01417469,3375728.605500516,100,0.05004757607861844,0.04944067175621085,5.90983527748435e-4
SPpesmJ,0.987726950190507,0.3,1816,206,1816,3.7862899374562,0.01665626,3074350.8621241148,100,0.052829426231749244,0.05221490305598883,5.906938021853818e-4
SPpesmD,0.888774351326571,0.3,1281,155,1281,4.49498861752549,0.01309373,1951377.6433028027,100,0.06255849252258684,0.05598996790633793,6.564592990989916e-4
SPpesmF,0.934982214886836,0.3,1379,104,1379,4.31704432985842,0.005269284,2209877.9993808414,100,0.06012038281921797,0.05643207569765506,6.240163485886393e-4
SPpesmH,0.938227771318037,0.3,1528,152,1528,4.09253777846613,0.01238164,2457153.6827783855,100,0.05703978103490189,0.05370553672051348,6.218577253467677e-4
