SiteCode,k,MN,U,GOF,p,d,m_,I,J,S,DA,S_m,S_sd,KS.D_mean,KS.D_sd,KS.p_mean,KS.p_sd
MGarap1,0.25,EI,0.003375713,0,0.728749442631224,2.844711428665674,0.0860726377407017,195.79785139658483,2080,92,2080,439.7,17.793143611963558,0.19003690040953125,0.008327792150048257,0.009149634992852929,0.004300313065733459
MGperd1,0.99,EI,0.00240896,58,0.806018045548929,0.3643555066722643,0.00138186056628124,4.101502422918333,2965,127,2470.83333333333,27.35,5.211438468320519,0.28396118476757903,0.07722104090580606,0.13156199628601276,0.17470341738210896
MGperd1,0.95,EI,0.004576079,75,0.806018045548929,0.5202961703512026,0.00281880427201696,8.37855336427481,2965,127,2470.83333333333,48.85,6.23832242407097,0.20469855973078185,0.04965709248208317,0.17416139951293375,0.16113225228623984
MGperd1,0.9,EI,0.004572111,97,0.806018045548929,0.6402115234231732,0.00426935353339818,12.708621470973927,2965,127,2470.83333333333,69.68,6.295549173339799,0.14630560903026027,0.03223281207731381,0.3472805858298961,0.23367848659723123
MGperd1,0.85,EI,0.00455805,99,0.806018045548929,0.7315147547935164,0.0055756782169626,16.618972276789147,2965,127,2470.83333333333,86.12,9.155535941922697,0.11594977589082733,0.029262483630677058,0.5345921748925467,0.2609725635524574
MGperd1,0.8,EI,0.0044538,100,0.806018045548929,0.8259710707985377,0.00711117621515515,21.22848580506057,2965,127,2470.83333333333,104.07,10.25163697201869,0.1036634083944356,0.023669293453284276,0.5888511306549649,0.23022396843699097
MGperd1,0.75,EI,0.004475731,98,0.806018045548929,0.9234975207139101,0.0088934272833996,26.596653875217406,2965,127,2470.83333333333,125.8,8.583517208974866,0.10444555080784326,0.031881921573359416,0.5419454778040359,0.31122974766090833
MGperd1,0.7,EI,0.004571628,94,0.806018045548929,1.0156048857863045,0.0107607357085122,32.241765760150905,2965,127,2470.83333333333,143.48,12.179200683662671,0.11316342820693484,0.03169808581752331,0.4266255473557904,0.2988947326757096
MGperd1,0.65,EI,0.004245395,79,0.806018045548929,1.1257835861004886,0.0132299916875267,39.73944792757789,2965,127,2470.83333333333,170.27,11.553874683499913,0.13070237197159257,0.028900715824145527,0.23629299532358444,0.20468952296257187
MGperd1,0.6,EI,0.004430136,62,0.806018045548929,1.2346197170036326,0.0159219606187409,47.95624877842058,2965,127,2470.83333333333,195.51,13.941070057331844,0.1480047107152874,0.025445668760552015,0.11115005626032785,0.1260975167355671
MGperd1,0.55,EI,0.004568088,30,0.806018045548929,1.359324358154453,0.0193165531288015,58.382002527353094,2965,127,2470.83333333333,226.01,13.516540559139706,0.16359069511872734,0.025199727121589632,0.048376582270602445,0.06184784539707652
MGperd1,0.5,EI,0.004353996,5,0.806018045548929,1.4876871956480227,0.0231582736145251,70.26841824973975,2965,127,2470.83333333333,257.66,13.462420572718996,0.1870073060193556,0.024727556730592248,0.012314667340599883,0.01643159797814493
MGperd1,0.25,EI,0.003849147,0,0.806018045548929,2.607285330801378,0.0719620238777212,229.83481739055657,2965,127,2470.83333333333,561.74,17.835737589276633,0.3343784428716973,0.010448925312250683,5.239768885445528e-10,1.2400486184249508e-9
MGuberl1,0.99,EI,0.008640807,59,0.234288719011765,0.5141117311578104,8.37282197850558e-4,1.1547417133177453,1379,87,1253.63636363636,9.02,2.766976981501946,0.448944229092142,0.13309853977298122,0.19745622679971678,0.23779780278135568
MGuberl1,0.95,EI,0.008872836,62,0.234288719011765,0.7215339094067812,0.00165357636235704,2.2824023539098146,1379,87,1253.63636363636,15.42,3.3247768968972053,0.3505527828323837,0.0953319111153609,0.17919256173966092,0.20395827852964948
MGuberl1,0.9,EI,0.009086849,70,0.234288719011765,0.8962369776493052,0.00255877747906148,3.5350407488023197,1379,87,1253.63636363636,21.88,4.200240493355138,0.28082589892738924,0.08078358671831297,0.23486980318040934,0.23417659387036888
MGuberl1,0.85,EI,0.009099906,77,0.234288719011765,1.0314625559977315,0.0033983959991329,4.698958608941855,1379,87,1253.63636363636,27.02,4.364642139981354,0.251664537507456,0.07896640767057726,0.2637437184138653,0.2593326093979467
MGuberl1,0.8,EI,0.00920161,86,0.234288719011765,1.1708537395281253,0.00439305246446422,6.080337537837065,1379,87,1253.63636363636,33.58,4.539790410326998,0.21185627906753776,0.05874510479070006,0.31984159607913876,0.25485114116880114
MGuberl1,0.75,EI,0.009257418,91,0.234288719011765,1.2906485566471715,0.00535451799376239,7.4182469320845925,1379,87,1253.63636363636,38.19,5.2101202995087865,0.19482973030397902,0.054593555931083594,0.359871444790025,0.26919500398874785
